level=info msg="Queuing URLs for africaioc"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=71"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=312"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=318"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=75"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=197"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/tanzania"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/namibia"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=122"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=296"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=275"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=205"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=341"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=340"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=290"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=66"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=311"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=47"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=141"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/nigeria"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/sudan"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/mauritania"
