severity,constraint,path,message,focusURL,value,shape
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3s3k59mc73f1mi0g,"{'type': 'Point', 'coordinates': [-125.2809817, 48.81378667]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj413k59mc73f1n9e0,"{'type': 'Point', 'coordinates': [-130.43134333333333, 54.25873333333333]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj33jk59mc73f1ind0,"{'type': 'Point', 'coordinates': [-123.5, 48.65]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj2v3k59mc73f1i2u0,"{'type': 'Polygon', 'coordinates': [[[-63.9925202, 49.034752], [-66.8412593, 49.034752], [-66.8412593, 47.9157161], [-63.9925202, 47.9157161], [-63.9925202, 49.034752]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3o3k59mc73f1m0e0,"{'type': 'Polygon', 'coordinates': [[[-71.1430559, 46.8767231], [-71.6419053, 46.8767231], [-71.6419053, 46.6482601], [-71.1430559, 46.6482601], [-71.1430559, 46.8767231]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3nbk59mc73f1lsfg,"{'type': 'Point', 'coordinates': [-123.4863466667, 48.6513166667]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj4cjk59mc73f1p63g,"{'type': 'Point', 'coordinates': [-126.0658299, 48.31207382]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3q3k59mc73f1m8ug,"{'type': 'Point', 'coordinates': [-123.39069, 48.30074]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3lrk59mc73f1ljfg,"{'type': 'Polygon', 'coordinates': [[[-72.202002, 46.114083], [-73.137536, 46.114083], [-73.137536, 45.090157], [-72.202002, 45.090157], [-72.202002, 46.114083]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj36bk59mc73f1j540,"{'type': 'Point', 'coordinates': [-123.04136666666, 48.7664666667]}",geoPolygon
